1,1,1,1 Ω
2.2,2.20,1,2.2 Ω
4.7,4.70,1,4.7 Ω
10,1,10,10 Ω
22,2.20,10,22 Ω
47,4.70,10,47 Ω
100,1,100,100 Ω
220,2.20,100,220 Ω
470,4.70,100,470 Ω
1000,1,1000,1  KΩ
2200,2.20,1000,2.2 KΩ
4700,4.70,1000,4.7 KΩ
10000,1,10000,10 KΩ
22000,2.20,10000,22 KΩ
47000,4.70,10000,47 KΩ
100000,1,100000,1 KΩ
220000,2.20,100000,2.2 KΩ
470000,4.70,100000,4.7 KΩ
1000000,1,1000000,10 MΩ
2200000,2.20,1000000,22 MΩ
4700000,4.70,1000000,47M MΩ
10000000,1,10000000,22 MΩ
,2.20,10000000,
,4.70,10000000,
